Key,Date,Day,AvailableTime,AirScore,WeatherScore,Dorm,Distance(m)
C3,2019-04-30,Tuesday,2053.6,1,2,0,258.0881473
C3,2019-05-01,Wednesday,NA,1,2,0,NA
C3,2019-05-07,Tuesday,2053.6,1,5,0,258.0881473
C3,2019-05-08,Wednesday,NA,1,3,0,NA
C3,2019-05-09,Thursday,3915.5,1,2,0,258.0881473
C3,2019-05-13,Monday,NA,NA,1,0,NA
C4,2019-04-17,Wednesday,385,1,4,0,NA
C4,2019-04-18,Thursday,NA,1,1,0,NA
C4,2019-04-19,Friday,NA,1,2,0,NA
C4,2019-04-20,Saturday,0,1,1,0,NA
C4,2019-04-22,Monday,1184,1,2,0,NA
C4,2019-04-23,Tuesday,2536,2,1,0,NA
C4,2019-04-25,Thursday,NA,1,1,0,NA
C4,2019-04-26,Friday,NA,1,1,0,NA
C4,2019-04-29,Monday,1184,1,1,0,NA
C4,2019-04-30,Tuesday,2536,1,2,0,NA
C4,2019-05-01,Wednesday,385,1,2,0,NA
C4,2019-05-02,Thursday,NA,3,2,0,NA
C4,2019-05-03,Friday,NA,1,2,0,NA
C4,2019-05-04,Saturday,0,2,2,0,NA
C4,2019-05-07,Tuesday,2536,1,5,0,NA
C4,2019-05-08,Wednesday,385,1,3,0,NA
C4,2019-05-09,Thursday,NA,1,2,0,NA
C4,2019-05-13,Monday,1184,NA,1,0,NA
C4,2019-05-14,Tuesday,2536,NA,2,0,NA
C5,2019-04-15,Monday,5791.666667,1,5,0,NA
C5,2019-04-16,Tuesday,2681.076923,1,2,0,132.335733
C5,2019-04-17,Wednesday,5361.5,1,4,0,NA
C5,2019-04-18,Thursday,1894.538462,1,1,0,258.0881473
C5,2019-04-22,Monday,5791.666667,1,2,0,258.0881473
C5,2019-04-23,Tuesday,2681.076923,2,1,0,141.7767165
C5,2019-04-24,Wednesday,5361.5,1,1,0,NA
C5,2019-04-25,Thursday,1894.538462,1,1,0,132.335733
C5,2019-04-29,Monday,5791.666667,1,1,0,258.0881473
C5,2019-04-30,Tuesday,2681.076923,1,2,0,132.335733
C5,2019-05-01,Wednesday,5361.5,1,2,0,258.0881473
C5,2019-05-02,Thursday,1894.538462,3,2,0,132.335733
C5,2019-05-07,Tuesday,2681.076923,1,5,0,258.0881473
C5,2019-05-08,Wednesday,5361.5,1,3,0,258.0881473
C5,2019-05-09,Thursday,1894.538462,1,2,0,141.7767165
D1,2019-04-17,Wednesday,167,1,4,0,381.0893375
D1,2019-04-18,Thursday,304.5,1,1,0,258.0881473
D1,2019-04-19,Friday,NA,1,2,0,774.9080656
D1,2019-04-23,Tuesday,NA,2,1,0,258.0881473
D1,2019-04-24,Wednesday,167,1,1,0,NA
D1,2019-04-25,Thursday,304.5,1,1,0,258.0881473
D1,2019-04-26,Friday,NA,1,1,0,NA
D1,2019-04-30,Tuesday,NA,1,2,0,258.0881473
D1,2019-05-01,Wednesday,167,1,2,0,180.4581399
D1,2019-05-02,Thursday,304.5,3,2,0,NA
D1,2019-05-07,Tuesday,NA,1,5,0,NA
D1,2019-05-08,Wednesday,167,1,3,0,NA
D1,2019-05-13,Monday,NA,NA,1,0,NA
D2,2019-04-15,Monday,604,1,5,0,258.0881473
D2,2019-04-16,Tuesday,2999,1,2,0,258.0881473
D2,2019-04-22,Monday,604,1,2,0,139.4843326
D2,2019-04-25,Thursday,1981.5,1,1,0,132.335733
D2,2019-05-01,Wednesday,NA,1,2,0,258.0881473
D2,2019-05-08,Wednesday,NA,1,3,0,NA
D2,2019-05-09,Thursday,1981.5,1,2,0,139.4843326
D2,2019-05-13,Monday,604,NA,1,0,132.335733
D3,2019-04-16,Tuesday,3546,1,2,1,141.7767165
D3,2019-04-17,Wednesday,4083.5,1,4,1,515.0831232
D3,2019-04-18,Thursday,1787,1,1,1,515.0831232
D3,2019-04-22,Monday,4013.5,1,2,1,515.0831232
D3,2019-04-23,Tuesday,3546,2,1,1,258.0881473
D3,2019-04-29,Monday,4013.5,1,1,1,515.0831232
D3,2019-05-02,Thursday,1787,3,2,1,515.0831232
D3,2019-05-07,Tuesday,3546,1,5,1,258.0881473
D3,2019-05-08,Wednesday,4083.5,1,3,1,515.0831232
D4,2019-04-11,Thursday,2178,1,1,0,NA
D4,2019-04-12,Friday,NA,1,2,0,NA
D4,2019-04-13,Saturday,0,1,2,0,NA
D4,2019-04-15,Monday,NA,1,5,0,NA
D4,2019-04-18,Thursday,2178,1,1,0,NA
D4,2019-04-21,Sunday,0,1,1,0,NA
D4,2019-04-22,Monday,NA,1,2,0,NA
D4,2019-04-23,Tuesday,NA,2,1,0,NA
D4,2019-04-24,Wednesday,6117,1,1,0,NA
D4,2019-05-01,Wednesday,6117,1,2,0,258.0881473
D4,2019-05-13,Monday,NA,NA,1,0,NA
D5,2019-04-16,Tuesday,NA,1,2,0,NA
D5,2019-04-17,Wednesday,NA,1,4,0,NA
D5,2019-04-18,Thursday,2392,1,1,0,NA
D5,2019-04-22,Monday,NA,1,2,0,NA
D5,2019-04-23,Tuesday,NA,2,1,0,NA
D5,2019-04-24,Wednesday,NA,1,1,0,NA
D5,2019-04-26,Friday,NA,1,1,0,NA
D5,2019-04-27,Saturday,0,1,4,0,NA
D5,2019-04-28,Sunday,0,1,1,0,NA
D5,2019-04-29,Monday,NA,1,1,0,258.0881473
D5,2019-04-30,Tuesday,NA,1,2,0,NA
D5,2019-05-02,Thursday,2392,3,2,0,NA
D5,2019-05-07,Tuesday,NA,1,5,0,NA
D5,2019-05-09,Thursday,2392,1,2,0,258.0881473
D5,2019-05-13,Monday,NA,NA,1,0,258.0881473
E1,2019-04-15,Monday,3141.5,1,5,0,NA
E1,2019-04-16,Tuesday,2414,1,2,0,258.0881473
E1,2019-04-18,Thursday,3605,1,1,0,NA
E1,2019-04-22,Monday,3141.5,1,2,0,258.0881473
E1,2019-04-23,Tuesday,2414,2,1,0,NA
E1,2019-05-03,Friday,NA,1,2,0,351.5160671
E1,2019-05-07,Tuesday,2414,1,5,0,258.0881473
E1,2019-05-08,Wednesday,7356,1,3,0,258.0881473
E1,2019-05-09,Thursday,3605,1,2,0,258.0881473
E1,2019-05-13,Monday,3141.5,NA,1,0,258.0881473
E2,2019-04-15,Monday,6801,1,5,0,258.0881473
E2,2019-04-16,Tuesday,1040.5,1,2,0,258.0881473
E2,2019-04-17,Wednesday,1083,1,4,0,258.0881473
E2,2019-04-23,Tuesday,1040.5,2,1,0,258.0881473
E2,2019-04-24,Wednesday,1083,1,1,0,258.0881473
E2,2019-04-25,Thursday,3008,1,1,0,258.0881473
E2,2019-05-07,Tuesday,1040.5,1,5,0,258.0881473
E2,2019-05-08,Wednesday,1083,1,3,0,202.9398888
E2,2019-05-09,Thursday,3008,1,2,0,258.0881473
E2,2019-05-13,Monday,6801,NA,1,0,NA
E3,2019-04-15,Monday,1230.666667,1,5,0,258.0881473
E3,2019-04-16,Tuesday,43280.2,1,2,0,258.0881473
E3,2019-04-17,Wednesday,1220.6,1,4,0,258.0881473
E3,2019-04-18,Thursday,459.5,1,1,0,258.0881473
E3,2019-04-25,Thursday,459.5,1,1,0,258.0881473
E3,2019-04-29,Monday,1230.666667,1,1,0,139.4843326
E3,2019-04-30,Tuesday,43280.2,1,2,0,258.0881473
E3,2019-05-01,Wednesday,1220.6,1,2,0,258.0881473
E3,2019-05-02,Thursday,459.5,3,2,0,258.0881473
E3,2019-05-07,Tuesday,43280.2,1,5,0,258.0881473
E3,2019-05-08,Wednesday,1220.6,1,3,0,258.0881473
E3,2019-05-09,Thursday,459.5,1,2,0,258.0881473
E3,2019-05-13,Monday,1230.666667,NA,1,0,NA
E3,2019-05-14,Tuesday,43280.2,NA,2,0,139.4843326
F1,2019-04-16,Tuesday,1790.666667,1,2,0,NA
F1,2019-04-17,Wednesday,NA,1,4,0,NA
F1,2019-04-18,Thursday,9735,1,1,0,258.0881473
F1,2019-04-22,Monday,NA,1,2,0,NA
F1,2019-04-23,Tuesday,1790.666667,2,1,0,258.0881473
F1,2019-04-24,Wednesday,NA,1,1,0,258.0881473
F1,2019-04-25,Thursday,9735,1,1,0,NA
F1,2019-04-29,Monday,NA,1,1,0,NA
F1,2019-05-08,Wednesday,NA,1,3,0,NA
F1,2019-05-13,Monday,NA,NA,1,0,NA
F2,2019-04-09,Tuesday,NA,1,1,0,258.0881473
F2,2019-04-10,Wednesday,NA,1,1,0,NA
F2,2019-04-22,Monday,744,1,2,0,NA
F2,2019-04-23,Tuesday,NA,2,1,0,NA
F2,2019-04-24,Wednesday,NA,1,1,0,258.0881473
F2,2019-04-25,Thursday,NA,1,1,0,NA
F2,2019-04-29,Monday,744,1,1,0,258.0881473
F2,2019-05-13,Monday,744,NA,1,0,NA
F3,2019-04-16,Tuesday,569,1,2,0,141.7767165
F3,2019-04-17,Wednesday,36,1,4,0,258.0881473
F3,2019-04-18,Thursday,1504.1,1,1,0,132.335733
F3,2019-04-22,Monday,886.8571429,1,2,0,258.0881473
F3,2019-04-24,Wednesday,36,1,1,0,258.0881473
F3,2019-04-25,Thursday,1504.1,1,1,0,141.7767165
F3,2019-04-29,Monday,886.8571429,1,1,0,258.0881473
F3,2019-05-01,Wednesday,36,1,2,0,NA
F3,2019-05-08,Wednesday,36,1,3,0,258.0881473
F3,2019-05-13,Monday,886.8571429,NA,1,0,141.7767165
F4,2019-04-15,Monday,5867,1,5,0,258.0881473
F4,2019-04-16,Tuesday,1328.111111,1,2,0,132.335733
F4,2019-04-17,Wednesday,3527,1,4,0,258.0881473
F4,2019-04-18,Thursday,2967.285714,1,1,0,132.335733
F4,2019-04-22,Monday,5867,1,2,0,258.0881473
F4,2019-04-23,Tuesday,1328.111111,2,1,0,169.1490848
F4,2019-04-24,Wednesday,3527,1,1,0,258.0881473
F4,2019-04-25,Thursday,2967.285714,1,1,0,132.335733
F4,2019-04-26,Friday,NA,1,1,0,NA
F4,2019-04-29,Monday,5867,1,1,0,258.0881473
F4,2019-04-30,Tuesday,1328.111111,1,2,0,132.335733
F4,2019-05-01,Wednesday,3527,1,2,0,258.0881473
F4,2019-05-02,Thursday,2967.285714,3,2,0,132.335733
F4,2019-05-03,Friday,NA,1,2,0,NA
F4,2019-05-07,Tuesday,1328.111111,1,5,0,141.7767165
F4,2019-05-08,Wednesday,3527,1,3,0,258.0881473
F4,2019-05-09,Thursday,2967.285714,1,2,0,258.0881473
F4,2019-05-13,Monday,5867,NA,1,0,258.0881473
F4,2019-05-14,Tuesday,1328.111111,NA,2,0,NA
F5,2019-04-15,Monday,2014.4,1,5,0,258.0881473
F5,2019-04-16,Tuesday,2898,1,2,0,258.0881473
F5,2019-04-17,Wednesday,46,1,4,0,258.0881473
F5,2019-04-18,Thursday,3000,1,1,0,132.335733
F5,2019-04-22,Monday,2014.4,1,2,0,258.0881473
F5,2019-04-23,Tuesday,2898,2,1,0,132.335733
F5,2019-04-24,Wednesday,46,1,1,0,139.4843326
F5,2019-04-25,Thursday,3000,1,1,0,258.0881473
F5,2019-04-29,Monday,2014.4,1,1,0,202.9398888
F5,2019-04-30,Tuesday,2898,1,2,0,258.0881473
F5,2019-05-01,Wednesday,46,1,2,0,258.0881473
F5,2019-05-02,Thursday,3000,3,2,0,NA
F5,2019-05-03,Friday,NA,1,2,0,NA
F5,2019-05-07,Tuesday,2898,1,5,0,132.335733
F5,2019-05-08,Wednesday,46,1,3,0,258.0881473
F5,2019-05-09,Thursday,3000,1,2,0,258.0881473
F5,2019-05-13,Monday,2014.4,NA,1,0,258.0881473
G1,2019-04-15,Monday,780,1,5,0,NA
G1,2019-04-16,Tuesday,3335.5,1,2,0,258.0881473
G1,2019-04-17,Wednesday,NA,1,4,0,258.0881473
G1,2019-04-18,Thursday,4983,1,1,0,258.0881473
G1,2019-04-22,Monday,780,1,2,0,258.0881473
G1,2019-04-23,Tuesday,3335.5,2,1,0,258.0881473
G1,2019-04-24,Wednesday,NA,1,1,0,258.0881473
G1,2019-04-25,Thursday,4983,1,1,0,258.0881473
G1,2019-04-29,Monday,780,1,1,0,258.0881473
G1,2019-04-30,Tuesday,3335.5,1,2,0,NA
G1,2019-05-01,Wednesday,NA,1,2,0,NA
G1,2019-05-02,Thursday,4983,3,2,0,258.0881473
G1,2019-05-08,Wednesday,NA,1,3,0,258.0881473
G1,2019-05-09,Thursday,4983,1,2,0,258.0881473
G1,2019-05-13,Monday,780,NA,1,0,258.0881473
G2,2019-04-22,Monday,20.5,1,2,0,NA
G2,2019-04-24,Wednesday,NA,1,1,0,NA
G2,2019-05-09,Thursday,76,1,2,0,NA
G2,2019-05-13,Monday,20.5,NA,1,0,295.721823
G3,2019-04-11,Thursday,2384.75,1,1,0,141.7767165
G3,2019-04-16,Tuesday,1930.142857,1,2,0,141.7767165
G3,2019-04-17,Wednesday,NA,1,4,0,258.0881473
G3,2019-04-18,Thursday,2384.75,1,1,0,141.7767165
